Author_id,NAME
6956,Mark P. O. Morford
8715,Richard Bruce Wright
1344,Carlo D'Este
3644,Gina Kolata
2963,Elizabeth Wayland Barber
360,Amy Tan
8903,Robert Cowley
9430,Scott Turow
2143,David Cordingly
479,Ann Beattie
2117,David Adams Richards
5891,Kensington
9500,Sheila Heti
4266,J. R. Kaiser
4294,Jack Canfield
6463,Loren D. Estleman
8944,Robert Hendrickson
5543,Julia Oliver
5175,John Grisham
10380,Toni Morrison
10190,The Onion
1511,Celia Brooks Brown
4267,J. R. Parrish
7148,Mary-kate &amp; Ashley Olsen
9080,Robynn Clairday
5757,Kathleen Duey
8693,Rich Shapero
7317,Michael Crichton
7317,Michael Crichton
1278,C.S. Lewis
710,Arthur Phillips
9761,Stephen Jaramillo
7612,Mordecai Richler
2872,Eleanor Cooney
1613,Charlotte Link
8774,Richard North Patterson
6962,Mark Salzman
3878,Harper Lee
6090,Laura Hillenbrand
813,Barbara Kingsolver
4964,Jo Dereske
4545,Jane Austen
2484,Dolores Krieger
577,Anne Rivers Siddons
2286,Dean Koontz
7089,Mary Higgins Clark
2286,Dean Koontz
8055,Patricia Cornwell
4279,J.D. Robb
6658,Maeve Binchy
6093,Laura J. Mixon
10298,Tim LaHaye
5175,John Grisham
0,
9000,Robert Penn Warren
3845,Hans Johannes Hoefer
6942,Mark Helprin
7903,O. Carl Simonton M.D.
1767,Chuck Hill
2188,David Iglehart
6068,Larry McMurtry
10017,Suzanne Fisher Staples
10017,Suzanne Fisher Staples
7455,Michel Tournier
1333,Carl Sagan
178,Aleksandr Zinoviev
582,Anne Tyler
360,Amy Tan
5376,Joseph Conrad
2351,Deepak Chopra
10232,Thomas Hardy
1575,Charles Noland
10478,Valerie Frankel
907,Benjamin Hoff
6090,Laura Hillenbrand
7779,Niccolo Machiavelli
0,
8866,Robert A. Heinlein
0,
0,
7406,Michael Ondaatje
9341,Sandra Levy Ceren
7965,P. J. O'Rourke
7499,Mike Gayle
9693,Stel Pavlou
0,
2015,Dan Quayle
2525,Donald F. Kettl
0,
6498,Louis L'Amour
4280,J.D. Salinger
5092,John Berendt
7089,Mary Higgins Clark
4807,Jennifer Crusie
