Author_id,Isbn
6956,0195153448
8715,0002005018
1344,0060973129
3644,0374157065
2963,0393045218
360,0399135782
8903,0425176428
9430,0671870432
2143,0679425608
479,074322678X
2117,0771074670
5891,080652121X
9500,0887841740
4266,1552041778
4294,1558746218
6463,1567407781
8944,1575663937
5543,1881320189
5175,0440234743
10380,0452264464
10190,0609804618
1511,1841721522
4267,1879384493
7148,0061076031
9080,0439095026
5757,0689821166
8693,0971880107
7317,0345402871
7317,0345417623
1278,0684823802
710,0375759778
9761,0425163091
7612,3404921038
2872,3442353866
1613,3442410665
8774,3442446937
6962,0375406328
3878,0446310786
6090,0449005615
813,0060168013
4964,038078243X
4545,055321215X
2484,067176537X
577,0061099686
2286,0553582909
7089,0671888587
2286,0553582747
8055,0425182908
4279,042518630X
6658,0440223571
6093,0812523873
10298,0842342702
5175,0440225701
0,0060914068
9000,0156047624
3845,0245542957
6942,0380715899
7903,0553280333
1767,0961769947
2188,0964778319
6068,0671623249
10017,0679810307
10017,0679865691
7455,2070423204
1333,0345260317
178,0394743741
582,042511774X
360,0804106304
5376,1853262404
2351,0312970242
10232,1853260053
1575,1414035004
10478,0060938412
907,0140067477
6090,0345465083
7779,0451625889
0,1558531025
8866,0441783589
0,0394895894
0,1569871213
7406,0375410538
9341,0966986105
7965,087113375X
7499,0340767936
9693,0743403843
0,0060930365
2015,0060177586
2525,0071416331
0,0375509038
6498,0553062042
4280,0316769487
5092,0679429220
7089,0671867156
4807,0312252617
4560,0312261594
7422,0316748641
9609,0316973742
10720,0385235941
0,0446677450
5854,0451166892
5149,0553347594
8924,0671621009
6497,067976397X
0,0684822733
7567,0786868716
7362,0671864769
3667,0671521519
0,0440222303
2225,0312953453
9330,0446608653
4476,0446612545
9330,0446612618
9882,0451208080
4193,0553584383
2001,0671027360
5042,0812575954
475,0316735736
0,0743439740
0,0345372700
8205,0380619458
0,0446325805
0,0451406923
9767,0671042858
896,0743249992
0,0840734530
10338,0425184226
2024,0375500766
9191,9724119378
816,0451205197
3406,0060929790
8647,0060976845
10390,0061099325
7089,0671004573
8954,0446601640
8551,0330484516
4142,038572179X
7385,0393020371
8819,1900850303
7882,1903019699
6467,0345425294
555,0451410319
5822,0553583468
2076,0380778556
7733,0451525221
7800,0002740230
6114,0385336772
6436,0440949424
9943,0505524996
835,0140252800
9565,0451452755
0,0812575482
8954,044651747X
986,0060801263
